sample_id,audio_file,hive_id,varroa_measurement,varroa_label,segment_index,segment_start_sec,segment_end_sec,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
3628_20220826_1030,26-08-2022_10h30_HIVE-3628.wav,3628,16.0,HIGH,0,0.0,2.0,-598.2262145527017,144.1290886734329,77.12232441591878,15.998197198229132,13.9523001597294,6.7409118094438245,59.021492196978755,11.793001895318962,13.927952225948607,6.424423095483446,9.716680947514018,6.24863106119663,3.992805538425571,5.256015190840673,21.877597493291155,5.508218142485934,0.9001049263168358,5.749132998361959,-3.857386237579709,4.297918981399051,-3.679412334634451,5.045883413180167,18.883841355244698,5.524022219927762,-15.064043543416428,5.838110041240525
3628_20220826_1030,26-08-2022_10h30_HIVE-3628.wav,3628,16.0,HIGH,1,2.0,4.0,-595.9953902576615,143.92467751072033,77.08541440209358,15.51187336362528,14.589554192557774,7.036516197439536,58.2254690902432,11.84048396184798,11.932162799722647,7.039117732425083,10.808149403544482,6.795220027993759,3.3911471660969372,5.401100612681373,19.53162771845467,6.009407560848535,1.230653985645704,5.118180990004663,-5.80007085480703,5.1649261861085645,-5.274085766197099,4.573506504950391,16.484703941225934,5.599379783080132,-16.958981375326026,5.9359436948645685
3628_20220826_1030,26-08-2022_10h30_HIVE-3628.wav,3628,16.0,HIGH,2,4.0,6.0,-592.8390626546828,149.14362270786455,76.14228100175156,15.153531580360694,12.411767572265166,9.464670540169648,60.2828303785411,12.055798884252189,11.565065906669354,6.525289057744094,8.835005398295722,5.1892333991174,3.5845645941001223,5.287580922072178,20.538293887794314,5.980944796586442,0.02157466500264046,4.815740383476419,-5.531324285826529,5.162414128844094,-5.842000959417616,4.524606456472043,17.35743270196397,6.3371630594583905,-17.047969510603277,5.66234771132341
3628_20220826_1030,26-08-2022_10h30_HIVE-3628.wav,3628,16.0,HIGH,3,6.0,8.0,-590.469868278784,149.65630762703572,75.47948744282093,15.070208893448017,12.497878550582048,7.5631524590805475,60.3126699090338,12.374456315125386,9.404998014314314,6.863420556386421,8.03815051856974,5.762426979130234,1.4095548020770712,5.052219215824953,19.294413267321467,5.899619123448054,1.1950938834324323,5.2167912935724345,-6.403880748738043,5.125624110062444,-5.407855073517974,4.586681680734077,18.64164581360988,6.512139798156576,-16.61051768106967,6.068315385850985
3628_20220826_1030,26-08-2022_10h30_HIVE-3628.wav,3628,16.0,HIGH,4,8.0,10.0,-588.7717965228527,149.08015279325838,72.8312924817542,15.538209800507694,12.320404518433378,7.1140448116882276,60.11170179670775,12.176606177325553,10.234310979265066,7.14152028789282,8.980616543674678,5.499924622469791,2.714718807184352,4.43064741330478,18.732240162588905,5.955886496672679,0.8719576253680615,5.57656212820388,-5.195690355940164,3.7559499007544326,-5.615689857723036,4.986826326580661,20.31632769614604,6.050034619524042,-16.482592792705997,4.975514231853118
3628_20220826_1030,26-08-2022_10h30_HIVE-3628.wav,3628,16.0,HIGH,5,10.0,12.0,-594.5504577590078,147.9561760514105,76.61027034608036,15.661430892332275,13.411461322600687,7.0439750736842655,58.565020066508765,12.801117355796878,9.815383536762345,6.28252134633851,9.346671544708784,5.7349133444808365,1.4967330952252764,4.7335295775358155,19.153937650561456,6.53341767150171,0.6342235783340759,5.062226624689936,-5.298137747755535,5.060321059023197,-5.100810378158191,4.757521709268832,18.958174653196423,5.490308767781799,-16.350951137751686,5.756378332062578
3628_20220826_1030,26-08-2022_10h30_HIVE-3628.wav,3628,16.0,HIGH,6,12.0,14.0,-589.4036519795698,145.68260147859525,74.4870545756817,15.151122598499283,11.72827548076489,6.921151248383996,60.19839130514455,11.854871669992228,9.887527159757537,6.869803295322231,9.174715444134275,6.220034790075279,2.3143716205188096,4.845108011419131,19.035904335886777,5.896011702872051,0.3639633474060023,4.875980130011569,-4.910680461093935,5.292339308372507,-4.306228011308884,5.131750420319192,20.35958468045768,6.074967035687356,-15.971544246346232,5.3587113017167205
3628_20220826_1030,26-08-2022_10h30_HIVE-3628.wav,3628,16.0,HIGH,7,14.0,16.0,-589.8431213114939,144.40080332609523,75.28590229901167,18.189085158547524,13.687937235357113,7.626944664091746,56.64832449808833,12.546168454267516,11.419574811017322,5.488194108032168,7.88994658376356,6.329925780086387,3.0085234784709156,4.062927285076435,20.07865236296523,6.578224275419514,0.5233088393917903,5.831085459078785,-5.920061995200118,5.214091873445197,-3.769636979982107,4.774364218125122,18.128632633044653,6.18227081884945,-14.671447063325688,6.4199791042503405
3628_20220826_1030,26-08-2022_10h30_HIVE-3628.wav,3628,16.0,HIGH,8,16.0,18.0,-598.846620437951,145.4044975072223,79.69582263978101,16.30455711435445,14.353916339589794,6.702022456929684,57.26130853178182,11.524914636044729,11.706237126148363,5.336802408357506,7.855568198481953,5.594343827586347,2.3954453695077618,4.6784748122800615,21.761011800028697,6.513217085080964,0.337602366696408,5.620253846709374,-5.096367225157015,5.36603837178943,-4.236027494460428,5.409695098135999,18.010840624407106,5.879272997816299,-15.98671875098157,5.153560813954817
3628_20220826_1030,26-08-2022_10h30_HIVE-3628.wav,3628,16.0,HIGH,9,18.0,20.0,-599.4713808375949,141.5285380055882,80.8701791493512,17.314379378577257,16.673585687246945,6.461218607772153,56.279841238008714,11.556621155077675,13.07208100076154,6.520585598770076,9.551045943952273,4.575481746959716,2.7676297559868814,4.228599190926628,19.043433754274524,5.518561295901125,0.27673422918213614,4.866308149917107,-3.556981282583988,4.350800620156838,-4.4373133771595255,4.8393100966312685,17.701044310796057,6.453427333708528,-14.605431164133247,4.982203382426535
