filename,filepath,class,date,time,datetime,hive
11-08-2021_16h45_Hive-6.wav,training\data\healthy\11-08-2021_16h45_Hive-6.wav,healthy,2021-08-11,16:45,2021-08-11 16:45,6
11-08-2021_18h15_HIVE-3693.WAV,training\data\healthy\11-08-2021_18h15_HIVE-3693.WAV,healthy,2021-08-11,18:15,2021-08-11 18:15,3693
11-08-2021_19h00_HIVE-3631.WAV,training\data\healthy\11-08-2021_19h00_HIVE-3631.WAV,healthy,2021-08-11,19:00,2021-08-11 19:00,3631
11-08-2021_20h15_HIVE-3629.WAV,training\data\healthy\11-08-2021_20h15_HIVE-3629.WAV,healthy,2021-08-11,20:15,2021-08-11 20:15,3629
11-08-2021_21h15_HIVE-3693.WAV,training\data\healthy\11-08-2021_21h15_HIVE-3693.WAV,healthy,2021-08-11,21:15,2021-08-11 21:15,3693
11-08-2021_22h15_Hive-6.wav,training\data\healthy\11-08-2021_22h15_Hive-6.wav,healthy,2021-08-11,22:15,2021-08-11 22:15,6
12-08-2021_02h00_HIVE-3640.WAV,training\data\healthy\12-08-2021_02h00_HIVE-3640.WAV,healthy,2021-08-12,02:00,2021-08-12 02:00,3640
12-08-2021_03h00_HIVE-3690.WAV,training\data\healthy\12-08-2021_03h00_HIVE-3690.WAV,healthy,2021-08-12,03:00,2021-08-12 03:00,3690
12-08-2021_03h30_HIVE-3690.WAV,training\data\healthy\12-08-2021_03h30_HIVE-3690.WAV,healthy,2021-08-12,03:30,2021-08-12 03:30,3690
12-08-2021_05h00_HIVE-3640.WAV,training\data\healthy\12-08-2021_05h00_HIVE-3640.WAV,healthy,2021-08-12,05:00,2021-08-12 05:00,3640
12-08-2021_05h45_HIVE-3629.WAV,training\data\healthy\12-08-2021_05h45_HIVE-3629.WAV,healthy,2021-08-12,05:45,2021-08-12 05:45,3629
12-08-2021_07h30_HIVE-3640.WAV,training\data\healthy\12-08-2021_07h30_HIVE-3640.WAV,healthy,2021-08-12,07:30,2021-08-12 07:30,3640
12-08-2021_08h00_HIVE-3640.WAV,training\data\healthy\12-08-2021_08h00_HIVE-3640.WAV,healthy,2021-08-12,08:00,2021-08-12 08:00,3640
12-08-2021_09h00_HIVE-3640.WAV,training\data\healthy\12-08-2021_09h00_HIVE-3640.WAV,healthy,2021-08-12,09:00,2021-08-12 09:00,3640
12-08-2021_09h15_HIVE-3629.WAV,training\data\healthy\12-08-2021_09h15_HIVE-3629.WAV,healthy,2021-08-12,09:15,2021-08-12 09:15,3629
12-08-2021_12h45_Hive-6.wav,training\data\healthy\12-08-2021_12h45_Hive-6.wav,healthy,2021-08-12,12:45,2021-08-12 12:45,6
12-08-2021_13h30_HIVE-3640.WAV,training\data\healthy\12-08-2021_13h30_HIVE-3640.WAV,healthy,2021-08-12,13:30,2021-08-12 13:30,3640
